case_id,family,refinement_level_id,n_electrodes,conductivity_pattern,contact_impedance_exact,drive_label,solver,formulation,truth_relative_l2,truth_max_abs,exact_reduced_scaled_backward_residual,voltage_gauge_relative_residual,reduced_condition_number_2_estimate,classic_robin_relative_l2
X12,range,Q2,16,uniform,1,skip-4,NGSolve,classic,2.963511429626252e-15,2.179479731987002e-14,2.5110462284511953e-16,7.501435286651749e-17,17.178920970323716,4.897672504572729e-16
X12,range,Q2,16,uniform,1,skip-4,NGSolve,robin_transconductance,2.9051925295352585e-15,2.0720604811629817e-14,2.391026491995376e-16,1.4168464000008625e-16,17.178920970323716,4.897672504572729e-16
X12,range,Q2,16,uniform,1,skip-4,EIDORS,classic,3.421351508652431e-16,3.592905566765104e-15,2.4142868476236917e-17,6.436107895305592e-17,17.178920970323716,3.7001239862101516e-16
X12,range,Q2,16,uniform,1,skip-4,EIDORS,robin_transconductance,3.845614235613289e-16,4.733393257027563e-15,2.820143093105249e-17,2.0197259379152673e-16,17.178920970323716,3.7001239862101516e-16
X13,range,Q2,16,uniform,1/32,adjacent,PyEIDORS/DOLFINx,classic,2.130362305478497e-15,6.042460037124365e-15,9.471960466979623e-17,9.919227740943513e-17,95.75447490199744,2.4732413283393607e-15
X13,range,Q2,16,uniform,1/32,adjacent,PyEIDORS/DOLFINx,robin_transconductance,2.6344381623778932e-15,5.577197289592614e-15,6.160270432881821e-17,1.8041748696731543e-16,95.75447490199744,2.4732413283393607e-15
X13,range,Q2,16,uniform,1/32,adjacent,NGSolve,classic,8.255825477568439e-14,7.83703996594193e-14,1.9803869434742546e-15,9.338368867395425e-17,95.75447490199744,4.543792606228974e-15
X13,range,Q2,16,uniform,1/32,adjacent,NGSolve,robin_transconductance,8.115465279501188e-14,7.715648107212793e-14,1.8852512798259605e-15,1.8994548543878934e-16,95.75447490199744,4.543792606228974e-15
X13,range,Q2,16,uniform,1/32,adjacent,EIDORS,classic,5.6132027864577874e-15,6.631983724997621e-15,1.4576222680949552e-16,1.8857122782796924e-16,95.75447490199744,3.381123962198449e-15
X13,range,Q2,16,uniform,1/32,adjacent,EIDORS,robin_transconductance,5.638304946570976e-15,7.434475125668097e-15,1.4064390994379205e-16,1.461895729203154e-16,95.75447490199744,3.381123962198449e-15
X14,range,Q2,16,uniform,1/32,skip-4,PyEIDORS/DOLFINx,classic,2.2660338249886983e-15,9.268683242350212e-15,8.079452475349623e-17,1.4054882393735991e-16,95.75447490199744,2.70347630123243e-15
X14,range,Q2,16,uniform,1/32,skip-4,PyEIDORS/DOLFINx,robin_transconductance,3.1266136079319336e-15,1.2381557314246114e-14,5.979303905664302e-17,1.73936302642525e-16,95.75447490199744,2.70347630123243e-15
X14,range,Q2,16,uniform,1/32,skip-4,NGSolve,classic,1.2207834707341902e-13,2.531201137489837e-13,2.0575313344228846e-15,1.1319997808464693e-16,95.75447490199744,5.3169815342415935e-15
X14,range,Q2,16,uniform,1/32,skip-4,NGSolve,robin_transconductance,1.1980205810711439e-13,2.522319353292836e-13,1.929575524017981e-15,1.7495798813339486e-16,95.75447490199744,5.3169815342415935e-15
X14,range,Q2,16,uniform,1/32,skip-4,EIDORS,classic,8.747462673465761e-15,2.6372496545276543e-14,1.5513760257066281e-16,2.3047624130175853e-16,95.75447490199744,3.0703132257696208e-15
X14,range,Q2,16,uniform,1/32,skip-4,EIDORS,robin_transconductance,7.846234611357841e-15,2.525688660801807e-14,1.7114839231489465e-16,1.3985027154546957e-16,95.75447490199744,3.0703132257696208e-15
X15,range,Q2,16,uniform,32,adjacent,PyEIDORS/DOLFINx,classic,3.4922021305392303e-16,1.50286807273652e-13,2.8342007843832554e-17,3.916000585478629e-17,16.594619368456467,3.9303314687449323e-16
X15,range,Q2,16,uniform,32,adjacent,PyEIDORS/DOLFINx,robin_transconductance,1.7957091672430714e-16,6.400912627187609e-14,1.7921178154639443e-17,1.8295345672495394e-16,16.594619368456467,3.9303314687449323e-16
X15,range,Q2,16,uniform,32,adjacent,NGSolve,classic,3.0731891365885023e-15,6.324433148799562e-13,2.5714674984637076e-16,4.8585736383850105e-17,16.594619368456467,2.475041516245713e-16
X15,range,Q2,16,uniform,32,adjacent,NGSolve,robin_transconductance,3.025803145864611e-15,6.455210567776602e-13,2.5803583200188927e-16,1.2905480139414579e-16,16.594619368456467,2.475041516245713e-16
X15,range,Q2,16,uniform,32,adjacent,EIDORS,classic,5.327562610885367e-16,1.490870697674224e-13,4.8708190607221293e-17,1.0022388828625548e-16,16.594619368456467,2.677600657312081e-16
X15,range,Q2,16,uniform,32,adjacent,EIDORS,robin_transconductance,5.121827617550603e-16,1.7769596399349212e-13,3.19007943371383e-17,1.4603873745276696e-16,16.594619368456467,2.677600657312081e-16
X16,range,Q2,16,uniform,32,skip-4,PyEIDORS/DOLFINx,classic,4.186622229366321e-16,1.730483232256915e-13,2.8307722200805453e-17,8.568271296060694e-17,16.594619368456467,4.79707508177735e-16
X16,range,Q2,16,uniform,32,skip-4,PyEIDORS/DOLFINx,robin_transconductance,2.270190631614355e-16,8.820233052032653e-14,2.0319816296563454e-17,1.6420809535716208e-16,16.594619368456467,4.79707508177735e-16
X16,range,Q2,16,uniform,32,skip-4,NGSolve,classic,3.0916294084966447e-15,6.608064905664923e-13,2.587163631480593e-16,9.40160816150993e-17,16.594619368456467,4.384590290841027e-16
X16,range,Q2,16,uniform,32,skip-4,NGSolve,robin_transconductance,3.1044406978113755e-15,7.133527816032203e-13,2.5887592436747937e-16,1.5760183700243163e-16,16.594619368456467,4.384590290841027e-16
X16,range,Q2,16,uniform,32,skip-4,EIDORS,classic,5.256624473380127e-16,1.4504574938113455e-13,4.1093102898502006e-17,1.0921536342448986e-16,16.594619368456467,2.158918455419538e-16
X16,range,Q2,16,uniform,32,skip-4,EIDORS,robin_transconductance,5.003568527043767e-16,1.7763743024962418e-13,3.0584329896681826e-17,1.458738767081316e-16,16.594619368456467,2.158918455419538e-16
X17,heterogeneous,Q0,16,left_right,1/8,adjacent,PyEIDORS/DOLFINx,classic,2.1892788028764446e-15,3.43610320243999e-15,4.225702672214864e-17,1.5115699171938631e-16,99.312920870883,1.0728806186565932e-15
X17,heterogeneous,Q0,16,left_right,1/8,adjacent,PyEIDORS/DOLFINx,robin_transconductance,1.951429595756071e-15,3.2438912095792722e-15,3.1341510288133184e-17,1.638801366245725e-16,99.312920870883,1.0728806186565932e-15
X17,heterogeneous,Q0,16,left_right,1/8,adjacent,NGSolve,classic,1.3853530302508017e-14,2.141990113182481e-14,3.0232396882088046e-16,9.698624543127446e-17,99.312920870883,9.923904890341758e-16
X17,heterogeneous,Q0,16,left_right,1/8,adjacent,NGSolve,robin_transconductance,1.3829736973530275e-14,2.1530923434287327e-14,3.079284856413015e-16,1.8519809634797986e-16,99.312920870883,9.923904890341758e-16
X17,heterogeneous,Q0,16,left_right,1/8,adjacent,EIDORS,classic,9.0303638943355e-16,1.319449024190925e-15,3.082769642664601e-17,3.0387681380368164e-16,99.312920870883,7.88882786502764e-16
X17,heterogeneous,Q0,16,left_right,1/8,adjacent,EIDORS,robin_transconductance,1.2767330882522747e-15,2.0058046877659908e-15,2.9708523573751865e-17,1.0209689099990837e-16,99.312920870883,7.88882786502764e-16
X18,heterogeneous,Q0,16,left_right,1/8,skip-4,PyEIDORS/DOLFINx,classic,3.580472252549913e-15,8.981618246178424e-15,6.987584013815413e-17,1.5232523962970647e-16,99.312920870883,1.4275249256216769e-15
X18,heterogeneous,Q0,16,left_right,1/8,skip-4,PyEIDORS/DOLFINx,robin_transconductance,3.0621616824246647e-15,7.986522152751246e-15,4.9028819512416163e-17,8.662867580240221e-17,99.312920870883,1.4275249256216769e-15
X18,heterogeneous,Q0,16,left_right,1/8,skip-4,NGSolve,classic,2.0752974681178792e-14,5.827131744477894e-14,2.9895527258950514e-16,1.0291755826998953e-16,99.312920870883,1.2306920452758671e-15
X18,heterogeneous,Q0,16,left_right,1/8,skip-4,NGSolve,robin_transconductance,2.060929745335518e-14,5.807585244118103e-14,3.019030291478349e-16,1.1562510290681302e-16,99.312920870883,1.2306920452758671e-15
X18,heterogeneous,Q0,16,left_right,1/8,skip-4,EIDORS,classic,1.3820789540732067e-15,3.901171934229834e-15,3.7224032427641584e-17,2.9513476620047344e-16,99.312920870883,1.0924313050106284e-15
X18,heterogeneous,Q0,16,left_right,1/8,skip-4,EIDORS,robin_transconductance,2.105460798711476e-15,5.238071484196738e-15,4.1084311514261785e-17,1.7693672450398243e-16,99.312920870883,1.0924313050106284e-15
X19,heterogeneous,Q0,16,left_right,1,adjacent,PyEIDORS/DOLFINx,classic,3.7753573661757496e-16,2.595414251307643e-15,1.7249395065830172e-17,5.857995908973915e-17,30.107904984612755,5.510744338927821e-16
X19,heterogeneous,Q0,16,left_right,1,adjacent,PyEIDORS/DOLFINx,robin_transconductance,4.463021728401251e-16,4.428797405986911e-15,2.40938179618589e-17,1.875910629986096e-16,30.107904984612755,5.510744338927821e-16
X19,heterogeneous,Q0,16,left_right,1,adjacent,NGSolve,classic,3.3538735690426482e-15,2.485690105908979e-14,2.5797745079394627e-16,4.6082310724200625e-17,30.107904984612755,3.42600259661535e-16
X19,heterogeneous,Q0,16,left_right,1,adjacent,NGSolve,robin_transconductance,3.349655142319262e-15,2.840961473789029e-14,2.5260548330283287e-16,1.2783264234585945e-16,30.107904984612755,3.42600259661535e-16
X19,heterogeneous,Q0,16,left_right,1,adjacent,EIDORS,classic,5.396188118126046e-16,4.0241156019069636e-15,4.0229150600059584e-17,1.3917754106684526e-16,30.107904984612755,2.764742054246147e-16
X19,heterogeneous,Q0,16,left_right,1,adjacent,EIDORS,robin_transconductance,5.837324498485123e-16,6.688650861007339e-15,4.0473476924017663e-17,1.8388257131307123e-16,30.107904984612755,2.764742054246147e-16
X20,heterogeneous,Q0,16,left_right,1,skip-4,PyEIDORS/DOLFINx,classic,9.578535820523793e-16,7.947706776898164e-15,3.993347392499171e-17,8.779213753464633e-17,30.107904984612755,1.1107016866572587e-15
X20,heterogeneous,Q0,16,left_right,1,skip-4,PyEIDORS/DOLFINx,robin_transconductance,7.295254973684627e-16,1.0591877953335122e-14,3.59226511288864e-17,1.5540822532797076e-16,30.107904984612755,1.1107016866572587e-15
X20,heterogeneous,Q0,16,left_right,1,skip-4,NGSolve,classic,4.42274880710763e-15,3.893714307020652e-14,2.5271756475216124e-16,8.63176745488093e-17,30.107904984612755,5.843467082436448e-16
X20,heterogeneous,Q0,16,left_right,1,skip-4,NGSolve,robin_transconductance,4.338012330744561e-15,4.1166612571772083e-14,2.4541033061148718e-16,9.686552531120903e-17,30.107904984612755,5.843467082436448e-16
X20,heterogeneous,Q0,16,left_right,1,skip-4,EIDORS,classic,7.15190123850855e-16,5.262807435134371e-15,4.2236897978229484e-17,1.3015727076133092e-16,30.107904984612755,4.550489083235258e-16
X20,heterogeneous,Q0,16,left_right,1,skip-4,EIDORS,robin_transconductance,7.09745176370225e-16,8.815521113934872e-15,4.473984139171053e-17,1.2533444882193398e-16,30.107904984612755,4.550489083235258e-16
X21,heterogeneous,Q2,16,left_right,1/8,adjacent,PyEIDORS/DOLFINx,classic,2.0549708164418143e-15,3.906218422633936e-15,3.531890881655944e-17,6.39916171386894e-17,89.31326985185329,1.385997751060039e-15
X21,heterogeneous,Q2,16,left_right,1/8,adjacent,PyEIDORS/DOLFINx,robin_transconductance,1.335319348731398e-15,2.495721025294157e-15,3.1615584985454696e-17,1.2692043898177608e-16,89.31326985185329,1.385997751060039e-15
X21,heterogeneous,Q2,16,left_right,1/8,adjacent,NGSolve,classic,1.5097818926969887e-14,3.0653154953044033e-14,3.5944894407970663e-16,1.1938212568199379e-16,89.31326985185329,4.357594281530732e-15
X21,heterogeneous,Q2,16,left_right,1/8,adjacent,NGSolve,robin_transconductance,1.380552168597579e-14,2.7100441274243532e-14,3.4220926429989115e-16,8.80526722443346e-17,89.31326985185329,4.357594281530732e-15
X21,heterogeneous,Q2,16,left_right,1/8,adjacent,EIDORS,classic,4.678015903257201e-15,9.290800092065945e-15,9.021211084974877e-17,2.141459222164471e-16,89.31326985185329,1.1756336128337338e-15
X21,heterogeneous,Q2,16,left_right,1/8,adjacent,EIDORS,robin_transconductance,4.509430354833372e-15,8.555477174393367e-15,8.89781419844225e-17,1.5736977087648604e-16,89.31326985185329,1.1756336128337338e-15
X22,heterogeneous,Q2,16,left_right,1/8,skip-4,PyEIDORS/DOLFINx,classic,3.685930706789142e-15,1.3659439437107309e-14,6.075776093545523e-17,1.6419485932718184e-16,89.31326985185329,2.283153040234425e-15
X22,heterogeneous,Q2,16,left_right,1/8,skip-4,PyEIDORS/DOLFINx,robin_transconductance,2.2986277539648146e-15,7.460795458419777e-15,5.3911120440062536e-17,1.4746681240482604e-16,89.31326985185329,2.283153040234425e-15
X22,heterogeneous,Q2,16,left_right,1/8,skip-4,NGSolve,classic,2.347847255794262e-14,8.698650698804358e-14,3.6126287342087885e-16,1.9690163847138705e-16,89.31326985185329,7.967959268050454e-15
X22,heterogeneous,Q2,16,left_right,1/8,skip-4,NGSolve,robin_transconductance,2.0667514901501345e-14,6.963388325876192e-14,3.3014356478020435e-16,1.4328564595526892e-16,89.31326985185329,7.967959268050454e-15
