case_id,solver,formulation,cold_median_seconds,setup_median_seconds,warm_reuse_median_seconds,cold_over_warm_reuse_speedup
X28,PyEIDORS/DOLFINx,robin_transconductance,0.0001433821835234994,0.00012396012607496232,1.550406523165293e-05,9.248037942382487
X28,NGSolve,classic,0.0007639976884092903,0.000743038130167406,8.360437277588062e-06,91.38250345557275
X28,NGSolve,robin_transconductance,0.00013381793360167649,0.00011799437379522715,7.025373633950949e-06,19.047803088363228
X28,EIDORS,classic,0.00029866874999999997,0.0002084125,2.9199999999999998e-05,10.228381849315069
X28,EIDORS,robin_transconductance,0.00032273124999999996,0.00031348125000000003,3.5875e-06,89.95993031358884
X29,PyEIDORS/DOLFINx,classic,0.0009012001901282929,0.0008646671922178939,2.72653742285911e-05,33.05291842219696
X29,PyEIDORS/DOLFINx,robin_transconductance,0.00032815418489917647,0.00029107519003446214,1.8264625396113843e-05,17.96665290321244
X29,NGSolve,classic,0.0008720284422452096,0.0008330684377142461,2.1033562006778084e-05,41.45890467644984
X29,NGSolve,robin_transconductance,0.00026013162641902454,0.0002436216891510412,8.447874279227108e-06,30.7925541764601
X29,EIDORS,classic,0.00050265,0.00036451875,4.658125e-05,10.79082248758889
X29,EIDORS,robin_transconductance,0.0004797062500000001,0.0004667125,4.7562499999999996e-06,100.85808147174772
X30,PyEIDORS/DOLFINx,classic,0.0009318741267634323,0.000895603438038961,2.6228442948195152e-05,35.529144013772154
X30,PyEIDORS/DOLFINx,robin_transconductance,0.000318022999636014,0.0002854550566553371,1.6041933122323826e-05,19.824481077873074
X30,NGSolve,classic,0.0008859403205860872,0.0008473650650557829,1.9947750843130052e-05,44.41304323245056
X30,NGSolve,robin_transconductance,0.0002538084390835138,0.0002397033113084035,8.60737418406643e-06,29.487324897917436
X30,EIDORS,classic,0.0005175374999999999,0.00037336875,3.42875e-05,15.094057601166604
X30,EIDORS,robin_transconductance,0.00048679375000000005,0.00047148124999999997,3.6375e-06,133.82646048109967
X31,PyEIDORS/DOLFINx,classic,0.0007874955626903102,0.0007548846224381123,2.6058194634970278e-05,30.220649347422007
X31,PyEIDORS/DOLFINx,robin_transconductance,0.00030576887365896255,0.000277070499578258,1.7320877304882742e-05,17.65319783038741
X31,NGSolve,classic,0.0007729158169240691,0.0007408703804685501,2.0090436009922996e-05,38.471828911145245
X31,NGSolve,robin_transconductance,0.00022470006297226064,0.00021061668485344853,7.87550197856035e-06,28.53152263614008
X31,EIDORS,classic,0.0005107750000000001,0.0003632437500000001,4.7443749999999984e-05,10.765906995125812
X31,EIDORS,robin_transconductance,0.00048861875,0.0004743375,3.96875e-06,123.11653543307085
X32,PyEIDORS/DOLFINx,classic,0.0008797203154244926,0.0008434049996139947,1.90181854122784e-05,46.256795606616244
X32,PyEIDORS/DOLFINx,robin_transconductance,0.00030645987681054976,0.0002808938170346664,1.165543835668359e-05,26.293294806438247
X32,NGSolve,classic,0.0008851011280057719,0.0008447113668808015,2.036856130871456e-05,43.454278119637586
X32,NGSolve,robin_transconductance,0.00026150012490688823,0.00024634537476231344,8.59174906508997e-06,30.436192086826253
X32,EIDORS,classic,0.000521,0.00037752500000000003,5.126875000000001e-05,10.162135803974154
X32,EIDORS,robin_transconductance,0.00046725625,0.0004550499999999999,4.8187499999999985e-06,96.96627756160834
X33,PyEIDORS/DOLFINx,classic,0.0015911976825009333,0.0014180934958858415,0.0002155663078156067,7.381476718810938
X33,PyEIDORS/DOLFINx,robin_transconductance,0.001203887381052482,0.0011497266314108856,2.858837069652509e-05,42.11108754087949
X33,NGSolve,classic,0.002197066189182806,0.0018708736843109364,0.0002808958106470527,7.821640999635387
X33,NGSolve,robin_transconductance,0.001405117869580863,0.0012236693110025954,3.0182187401806004e-05,46.55454062606428
